name,price,rate
"APPLE iPhone 14 (Blue, 128 GB)","₹60,999",4.6
"POCO C55 (Forest Green, 64 GB)","₹6,499",4.2
"MOTOROLA g54 5G (Mint Green, 256 GB)","₹15,999",4.2
"vivo T2x 5G (Aurora Gold, 128 GB)","₹14,999",4.3
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",4.4
"vivo T2x 5G (Marine Blue, 128 GB)","₹11,999",4.4
"vivo T2x 5G (Marine Blue, 128 GB)","₹14,999",4.3
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",4.4
"MOTOROLA g54 5G (Pearl Blue, 128 GB)","₹13,999",4.2
"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",4.4
"vivo T2x 5G (Aurora Gold, 128 GB)","₹11,999",4.4
"vivo T2x 5G (Glimmer Black, 128 GB)","₹14,999",4.3
"MOTOROLA Edge 40 Neo (Soothing Sea, 128 GB)","₹22,999",4.4
"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999",4.4
"APPLE iPhone 14 (Starlight, 128 GB)","₹60,999",4.6
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","₹5,499",4
"POCO C51 (Royal Blue, 64 GB)","₹5,799",4
"POCO C55 (Cool Blue, 128 GB)","₹7,499",4.1
"MOTOROLA Edge 40 Neo (Soothing Sea, 256 GB)","₹24,999",4.3
"MOTOROLA g54 5G (Pearl Blue, 256 GB)","₹15,999",4.2
"Infinix SMART 8 HD (Crystal Green, 64 GB)","₹6,299",4.3
"Infinix SMART 8 HD (Timber Black, 64 GB)","₹6,299",4.3
"Infinix SMART 8 HD (Shiny Gold, 64 GB)","₹6,299",4.3
"POCO C55 (Cool Blue, 64 GB)","₹6,499",4.2
